idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,4.0,195.0,108.0,1.0,6.73158354,3050.0,1961.18812307,1.0
1,4.0,195.0,108.0,1.0,6.73158354,3050.0,1961.18812307,1.0
2,5.0,36.0,73.0,2.0,6.91970661,1090.0,1961.18812307,1.0
3,3.0,195.0,108.0,1.0,6.88728848,3050.0,1961.18812307,1.0
4,5.0,36.0,73.0,1.0,6.97389713,1110.0,1961.18812307,1.0
5,5.0,36.0,73.0,1.0,6.97389713,1110.0,1961.18812307,1.0
6,3.0,131.0,125.0,2.0,6.98234429,2560.0,1961.18812307,1.0
7,3.0,131.0,125.0,2.0,6.98234429,2560.0,1961.18812307,1.0
0,5.0,36.0,73.0,2.0,6.91970661,1090.0,5090.646806979999,2.0
1,5.0,57.0,73.0,2.0,6.87032196,1300.0,5090.646806979999,2.0
2,5.0,147.0,73.0,1.0,6.64389975,2220.0,5090.646806979999,2.0
3,5.0,195.0,108.0,1.0,6.60063776,3050.0,5090.646806979999,2.0
4,3.0,6.0,48.0,2.0,8.09511414,540.0,5090.646806979999,2.0
5,5.0,36.0,73.0,1.0,6.97389713,1110.0,5090.646806979999,2.0
6,5.0,36.0,73.0,1.0,6.97389713,1110.0,5090.646806979999,2.0
7,4.0,195.0,108.0,1.0,6.73158354,3050.0,5090.646806979999,2.0
0,5.0,36.0,73.0,2.0,6.91970661,1090.0,5086.134042189999,3.0
1,5.0,57.0,73.0,2.0,6.87032196,1300.0,5086.134042189999,3.0
2,5.0,147.0,73.0,1.0,6.64389975,2220.0,5086.134042189999,3.0
3,3.0,6.0,48.0,2.0,8.09511414,540.0,5086.134042189999,3.0
4,5.0,153.0,73.0,2.0,6.63400434,2260.0,5086.134042189999,3.0
5,3.0,6.0,48.0,1.0,8.02553104,560.0,5086.134042189999,3.0
6,5.0,195.0,108.0,2.0,6.58762345,3030.0,5086.134042189999,3.0
7,3.0,6.0,48.0,1.0,8.0669205,560.0,5086.134042189999,3.0
0,3.0,6.0,48.0,2.0,8.09511414,540.0,7069.326186419999,4.0
1,3.0,6.0,48.0,2.0,8.09511414,540.0,7069.326186419999,4.0
2,5.0,195.0,184.0,2.0,6.58238882,3790.0,7069.326186419999,4.0
3,5.0,36.0,73.0,2.0,6.91970661,1090.0,7069.326186419999,4.0
4,3.0,6.0,48.0,1.0,8.02553104,560.0,7069.326186419999,4.0
5,5.0,136.0,48.0,2.0,6.66639042,1840.0,7069.326186419999,4.0
6,5.0,153.0,73.0,2.0,6.63400434,2260.0,7069.326186419999,4.0
7,5.0,195.0,108.0,2.0,6.58762345,3030.0,7069.326186419999,4.0
0,3.0,6.0,48.0,2.0,8.09511414,540.0,7155.270974419999,5.0
1,3.0,6.0,48.0,2.0,8.09511414,540.0,7155.270974419999,5.0
2,5.0,195.0,184.0,2.0,6.58238882,3790.0,7155.270974419999,5.0
3,5.0,195.0,184.0,2.0,6.58238882,3790.0,7155.270974419999,5.0
4,5.0,53.0,48.0,2.0,6.95122119,1010.0,7155.270974419999,5.0
5,3.0,6.0,48.0,1.0,8.02553104,560.0,7155.270974419999,5.0
6,5.0,195.0,108.0,2.0,6.58762345,3030.0,7155.270974419999,5.0
7,5.0,136.0,48.0,2.0,6.66639042,1840.0,7155.270974419999,5.0
0,3.0,6.0,48.0,2.0,8.09511414,540.0,3405.33276146,6.0
1,3.0,6.0,48.0,2.0,8.09511414,540.0,3405.33276146,6.0
2,5.0,195.0,22.0,2.0,6.57218478,2170.0,3405.33276146,6.0
3,5.0,53.0,48.0,2.0,6.95122119,1010.0,3405.33276146,6.0
4,5.0,6.0,48.0,1.0,7.42490034,560.0,3405.33276146,6.0
5,5.0,136.0,48.0,2.0,6.66639042,1840.0,3405.33276146,6.0
6,3.0,6.0,48.0,2.0,8.09511414,540.0,3405.33276146,6.0
7,3.0,6.0,48.0,2.0,8.09511414,540.0,3405.33276146,6.0
