idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,5.0,60.0,50.0,2.0,6.87002409,1100.0,11345.353723,1.0
1,5.0,60.0,50.0,2.0,6.87002409,1100.0,11345.353723,1.0
2,5.0,150.0,105.0,1.0,6.63059058,2570.0,11345.353723,1.0
3,4.0,39.0,6.0,2.0,7.77044279,450.0,11345.353723,1.0
4,4.0,39.0,6.0,2.0,7.77044279,450.0,11345.353723,1.0
5,5.0,146.0,8.0,2.0,6.67164155,1540.0,11345.353723,1.0
6,5.0,200.0,122.0,2.0,6.60049406,3220.0,11345.353723,1.0
7,4.0,77.0,6.0,1.0,7.06051848,850.0,11345.353723,1.0
8,4.0,39.0,15.0,2.0,7.58420552,540.0,11345.353723,1.0
9,5.0,200.0,161.0,2.0,6.58049879,3610.0,11345.353723,1.0
10,5.0,153.0,1.0,1.0,6.66570156,1560.0,11345.353723,1.0
11,4.0,94.0,25.0,1.0,6.94275633,1210.0,11345.353723,1.0
12,5.0,18.0,121.0,2.0,6.93837283,1390.0,11345.353723,1.0
13,5.0,141.0,122.0,2.0,6.64956766,2630.0,11345.353723,1.0
14,3.0,32.0,17.0,2.0,7.93062884,490.0,11345.353723,1.0
15,5.0,172.0,179.0,1.0,6.60964241,3530.0,11345.353723,1.0
16,5.0,172.0,179.0,1.0,6.60964241,3530.0,11345.353723,1.0
17,4.0,23.0,89.0,1.0,7.33149064,1140.0,11345.353723,1.0
18,4.0,23.0,89.0,2.0,7.44707604,1120.0,11345.353723,1.0
19,5.0,141.0,17.0,2.0,6.68821109,1580.0,11345.353723,1.0
20,5.0,118.0,105.0,2.0,6.68501167,2230.0,11345.353723,1.0
21,1.0,80.0,2.0,1.0,8.07305078,840.0,11345.353723,1.0
22,1.0,80.0,2.0,1.0,8.07305078,840.0,11345.353723,1.0
23,4.0,200.0,161.0,2.0,6.6978044,3610.0,11345.353723,1.0
24,4.0,200.0,161.0,2.0,6.6978044,3610.0,11345.353723,1.0
25,2.0,94.0,25.0,1.0,7.69716314,1210.0,11345.353723,1.0
26,5.0,4.0,121.0,2.0,7.11325483,1250.0,11345.353723,1.0
27,4.0,23.0,99.0,2.0,7.41528358,1220.0,11345.353723,1.0
0,5.0,150.0,105.0,1.0,6.63059058,2570.0,11457.2090588,2.0
1,5.0,146.0,8.0,2.0,6.67164155,1540.0,11457.2090588,2.0
2,5.0,200.0,122.0,2.0,6.60049406,3220.0,11457.2090588,2.0
3,5.0,200.0,122.0,2.0,6.60049406,3220.0,11457.2090588,2.0
4,4.0,39.0,15.0,2.0,7.58420552,540.0,11457.2090588,2.0
5,4.0,39.0,15.0,2.0,7.58420552,540.0,11457.2090588,2.0
6,5.0,200.0,161.0,2.0,6.58049879,3610.0,11457.2090588,2.0
7,5.0,200.0,161.0,2.0,6.58049879,3610.0,11457.2090588,2.0
