idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,5.0,172.0,49.0,2.0,6.61145906,2210.0,10707.5365145,1.0
1,5.0,172.0,49.0,2.0,6.61145906,2210.0,10707.5365145,1.0
2,4.0,188.0,8.0,2.0,6.72551163,1960.0,10707.5365145,1.0
3,4.0,188.0,8.0,2.0,6.72551163,1960.0,10707.5365145,1.0
4,5.0,9.0,60.0,2.0,7.36040626,690.0,10707.5365145,1.0
5,5.0,27.0,82.0,2.0,6.97291993,1090.0,10707.5365145,1.0
6,4.0,125.0,8.0,2.0,6.8103069,1330.0,10707.5365145,1.0
7,5.0,176.0,56.0,2.0,6.59265979,2320.0,10707.5365145,1.0
8,5.0,132.0,89.0,2.0,6.66694875,2210.0,10707.5365145,1.0
9,5.0,27.0,82.0,1.0,7.01360497,1110.0,10707.5365145,1.0
10,5.0,27.0,82.0,2.0,7.01711146,1090.0,10707.5365145,1.0
11,4.0,142.0,60.0,2.0,6.81079397,2020.0,10707.5365145,1.0
12,5.0,173.0,89.0,2.0,6.60155542,2620.0,10707.5365145,1.0
13,4.0,176.0,56.0,2.0,6.70565464,2320.0,10707.5365145,1.0
14,4.0,176.0,56.0,2.0,6.70565464,2320.0,10707.5365145,1.0
15,4.0,132.0,89.0,2.0,6.80635663,2210.0,10707.5365145,1.0
16,3.0,6.0,107.0,1.0,7.86690726,1150.0,10707.5365145,1.0
17,5.0,9.0,123.0,1.0,7.04127742,1340.0,10707.5365145,1.0
18,5.0,9.0,196.0,1.0,6.87211214,2070.0,10707.5365145,1.0
19,5.0,156.0,137.0,1.0,6.63432033,2950.0,10707.5365145,1.0
20,4.0,167.0,98.0,1.0,6.75266547,2670.0,10707.5365145,1.0
21,4.0,167.0,98.0,1.0,6.75266547,2670.0,10707.5365145,1.0
22,1.0,125.0,8.0,2.0,7.9632437,1330.0,10707.5365145,1.0
23,1.0,125.0,8.0,2.0,7.9632437,1330.0,10707.5365145,1.0
24,2.0,146.0,57.0,2.0,7.50723142,2030.0,10707.5365145,1.0
25,3.0,186.0,35.0,2.0,6.86232611,2210.0,10707.5365145,1.0
26,3.0,31.0,127.0,2.0,7.7275738,1580.0,10707.5365145,1.0
27,4.0,79.0,181.0,2.0,6.86112527,2600.0,10707.5365145,1.0
0,5.0,9.0,60.0,2.0,7.36040626,690.0,11653.280765300002,2.0
