idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,5.0,1.0,32.0,1.0,7.80184815,350.0,11724.8762337,1.0
1,5.0,1.0,32.0,1.0,7.80184815,350.0,11724.8762337,1.0
2,5.0,85.0,3.0,1.0,6.8720791,900.0,11724.8762337,1.0
3,5.0,193.0,17.0,2.0,6.58914353,2100.0,11724.8762337,1.0
4,5.0,139.0,5.0,1.0,6.68066026,1460.0,11724.8762337,1.0
5,5.0,27.0,27.0,2.0,7.35948069,540.0,11724.8762337,1.0
6,2.0,1.0,32.0,1.0,8.44294678,350.0,11724.8762337,1.0
7,4.0,18.0,102.0,1.0,7.34627432,1220.0,11724.8762337,1.0
8,5.0,157.0,57.0,1.0,6.63422337,2160.0,11724.8762337,1.0
9,5.0,192.0,27.0,2.0,6.60543364,2190.0,11724.8762337,1.0
10,4.0,72.0,88.0,1.0,6.94981787,1620.0,11724.8762337,1.0
11,4.0,72.0,88.0,1.0,6.94981787,1620.0,11724.8762337,1.0
12,4.0,54.0,103.0,1.0,7.05225187,1590.0,11724.8762337,1.0
13,4.0,54.0,103.0,1.0,7.05225187,1590.0,11724.8762337,1.0
14,4.0,41.0,44.0,1.0,7.38340719,870.0,11724.8762337,1.0
15,4.0,41.0,44.0,1.0,7.38340719,870.0,11724.8762337,1.0
16,2.0,29.0,34.0,1.0,8.15343618,650.0,11724.8762337,1.0
17,1.0,61.0,5.0,2.0,8.1352079,660.0,11724.8762337,1.0
18,4.0,192.0,27.0,2.0,6.74457202,2190.0,11724.8762337,1.0
19,5.0,128.0,138.0,1.0,6.70002419,2680.0,11724.8762337,1.0
20,5.0,142.0,158.0,1.0,6.638699,3020.0,11724.8762337,1.0
21,4.0,41.0,130.0,2.0,7.08662484,1710.0,11724.8762337,1.0
22,3.0,72.0,88.0,1.0,7.26555562,1620.0,11724.8762337,1.0
23,2.0,85.0,3.0,1.0,7.75021733,900.0,11724.8762337,1.0
24,2.0,139.0,5.0,1.0,7.48450025,1460.0,11724.8762337,1.0
25,1.0,29.0,34.0,1.0,8.34107021,650.0,11724.8762337,1.0
26,4.0,189.0,148.0,1.0,6.71929478,3390.0,11724.8762337,1.0
27,1.0,61.0,109.0,2.0,8.15001681,1700.0,11724.8762337,1.0
