idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,3.0,55.0,7.0,2.0,7.6288057,620.0,11567.844742300002,1.0
1,3.0,55.0,7.0,2.0,7.6288057,620.0,11567.844742300002,1.0
2,5.0,64.0,46.0,1.0,6.85434742,1120.0,11567.844742300002,1.0
3,4.0,72.0,23.0,2.0,7.00316345,950.0,11567.844742300002,1.0
4,5.0,50.0,106.0,2.0,6.82401321,1560.0,11567.844742300002,1.0
5,5.0,74.0,111.0,2.0,6.75692188,1850.0,11567.844742300002,1.0
6,5.0,83.0,163.0,1.0,6.74658541,2480.0,11567.844742300002,1.0
7,5.0,83.0,163.0,1.0,6.74658541,2480.0,11567.844742300002,1.0
8,5.0,83.0,163.0,1.0,6.74658541,2480.0,11567.844742300002,1.0
9,3.0,26.0,16.0,1.0,7.9346898,440.0,11567.844742300002,1.0
10,3.0,26.0,16.0,1.0,7.9346898,440.0,11567.844742300002,1.0
11,4.0,7.0,11.0,2.0,8.35033124,180.0,11567.844742300002,1.0
12,4.0,7.0,11.0,2.0,8.35033124,180.0,11567.844742300002,1.0
13,5.0,74.0,189.0,2.0,6.72769428,2630.0,11567.844742300002,1.0
14,5.0,74.0,72.0,2.0,6.82432039,1460.0,11567.844742300002,1.0
15,5.0,161.0,198.0,2.0,6.66500796,3590.0,11567.844742300002,1.0
16,5.0,40.0,24.0,1.0,7.21629578,660.0,11567.844742300002,1.0
17,3.0,26.0,16.0,2.0,7.97267222,420.0,11567.844742300002,1.0
18,4.0,48.0,92.0,2.0,7.15265666,1400.0,11567.844742300002,1.0
19,5.0,69.0,150.0,2.0,6.76186697,2190.0,11567.844742300002,1.0
20,1.0,21.0,12.0,2.0,8.45437589,330.0,11567.844742300002,1.0
21,1.0,21.0,12.0,2.0,8.45437589,330.0,11567.844742300002,1.0
22,4.0,74.0,111.0,2.0,7.04132599,1850.0,11567.844742300002,1.0
23,4.0,40.0,24.0,1.0,7.47871418,660.0,11567.844742300002,1.0
24,4.0,40.0,24.0,1.0,7.47871418,660.0,11567.844742300002,1.0
25,3.0,72.0,23.0,2.0,7.44487511,950.0,11567.844742300002,1.0
26,3.0,196.0,30.0,1.0,6.86873128,2280.0,11567.844742300002,1.0
27,3.0,50.0,43.0,2.0,7.62271598,930.0,11567.844742300002,1.0
0,5.0,64.0,46.0,1.0,6.85434742,1120.0,11845.7454125,2.0
1,5.0,74.0,111.0,2.0,6.75692188,1850.0,11845.7454125,2.0
2,5.0,83.0,163.0,1.0,6.74658541,2480.0,11845.7454125,2.0
3,5.0,83.0,163.0,1.0,6.74658541,2480.0,11845.7454125,2.0
4,5.0,83.0,163.0,1.0,6.74658541,2480.0,11845.7454125,2.0
5,4.0,7.0,11.0,2.0,8.35033124,180.0,11845.7454125,2.0
6,4.0,7.0,11.0,2.0,8.35033124,180.0,11845.7454125,2.0
7,4.0,7.0,11.0,2.0,8.35033124,180.0,11845.7454125,2.0
8,4.0,7.0,11.0,2.0,8.35033124,180.0,11845.7454125,2.0
9,4.0,7.0,11.0,2.0,8.35033124,180.0,11845.7454125,2.0
10,4.0,7.0,11.0,2.0,8.35033124,180.0,11845.7454125,2.0
11,5.0,74.0,189.0,2.0,6.72769428,2630.0,11845.7454125,2.0
12,5.0,74.0,189.0,2.0,6.72769428,2630.0,11845.7454125,2.0
13,5.0,40.0,24.0,1.0,7.21629578,660.0,11845.7454125,2.0
14,5.0,40.0,24.0,1.0,7.21629578,660.0,11845.7454125,2.0
15,5.0,74.0,47.0,2.0,6.78653127,1210.0,11845.7454125,2.0
16,5.0,55.0,12.0,2.0,6.99224726,670.0,11845.7454125,2.0
17,3.0,50.0,12.0,2.0,7.62105503,620.0,11845.7454125,2.0
18,5.0,21.0,12.0,2.0,7.84652342,330.0,11845.7454125,2.0
19,5.0,162.0,111.0,2.0,6.61480896,2730.0,11845.7454125,2.0
20,1.0,21.0,7.0,2.0,8.54248961,280.0,11845.7454125,2.0
21,5.0,161.0,198.0,2.0,6.66500796,3590.0,11845.7454125,2.0
22,5.0,69.0,150.0,2.0,6.76186697,2190.0,11845.7454125,2.0
23,4.0,72.0,23.0,2.0,7.00316345,950.0,11845.7454125,2.0
24,5.0,74.0,72.0,2.0,6.82432039,1460.0,11845.7454125,2.0
25,1.0,21.0,12.0,2.0,8.45437589,330.0,11845.7454125,2.0
26,4.0,40.0,24.0,1.0,7.47871418,660.0,11845.7454125,2.0
27,3.0,26.0,16.0,2.0,7.97267222,420.0,11845.7454125,2.0
0,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
1,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
2,5.0,161.0,198.0,1.0,6.60928727,3610.0,11939.5603013,3.0
3,5.0,133.0,46.0,1.0,6.68075365,1810.0,11939.5603013,3.0
4,5.0,21.0,12.0,2.0,7.84652342,330.0,11939.5603013,3.0
5,3.0,50.0,12.0,2.0,7.62105503,620.0,11939.5603013,3.0
6,5.0,162.0,111.0,2.0,6.61480896,2730.0,11939.5603013,3.0
7,5.0,72.0,23.0,2.0,6.84883765,950.0,11939.5603013,3.0
8,5.0,162.0,111.0,2.0,6.61480896,2730.0,11939.5603013,3.0
9,5.0,40.0,24.0,1.0,7.21629578,660.0,11939.5603013,3.0
10,5.0,74.0,47.0,2.0,6.78653127,1210.0,11939.5603013,3.0
11,5.0,55.0,12.0,2.0,6.99224726,670.0,11939.5603013,3.0
12,5.0,21.0,12.0,2.0,7.84652342,330.0,11939.5603013,3.0
13,3.0,50.0,12.0,2.0,7.62105503,620.0,11939.5603013,3.0
14,5.0,40.0,24.0,1.0,7.21629578,660.0,11939.5603013,3.0
15,5.0,74.0,47.0,2.0,6.78653127,1210.0,11939.5603013,3.0
16,5.0,55.0,12.0,2.0,6.99224726,670.0,11939.5603013,3.0
17,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
18,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
19,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
20,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
21,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
22,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
23,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
24,4.0,7.0,11.0,2.0,8.35033124,180.0,11939.5603013,3.0
25,5.0,40.0,24.0,1.0,7.21629578,660.0,11939.5603013,3.0
26,5.0,55.0,12.0,2.0,6.99224726,670.0,11939.5603013,3.0
27,3.0,50.0,12.0,2.0,7.62105503,620.0,11939.5603013,3.0
0,4.0,7.0,11.0,2.0,8.35033124,180.0,12080.2404719,4.0
1,4.0,7.0,11.0,2.0,8.35033124,180.0,12080.2404719,4.0
2,5.0,162.0,111.0,1.0,6.60081369,2750.0,12080.2404719,4.0
3,5.0,40.0,11.0,2.0,7.36703906,510.0,12080.2404719,4.0
4,5.0,161.0,46.0,1.0,6.63357263,2090.0,12080.2404719,4.0
5,5.0,7.0,21.0,2.0,8.03388904,280.0,12080.2404719,4.0
6,5.0,21.0,12.0,2.0,7.84652342,330.0,12080.2404719,4.0
7,5.0,50.0,12.0,2.0,7.07120872,620.0,12080.2404719,4.0
8,5.0,74.0,47.0,2.0,6.78653127,1210.0,12080.2404719,4.0
9,5.0,133.0,46.0,1.0,6.68075365,1810.0,12080.2404719,4.0
10,5.0,162.0,111.0,2.0,6.61480896,2730.0,12080.2404719,4.0
11,5.0,72.0,23.0,2.0,6.84883765,950.0,12080.2404719,4.0
12,5.0,21.0,12.0,2.0,7.84652342,330.0,12080.2404719,4.0
