train_time,test_time,rmse
24.2091808319092,3.2144238948822,7.39
24.0517058372498,3.24828863143921,7.31
24.5239436626434,3.42914175987244,7.39
35.9732537269592,3.42189502716064,7.21
29.1742122173309,3.31162238121033,7.51
29.2664148807526,3.34081816673279,7.28
24.3840119838715,3.23843240737915,7.29
24.7971742153168,3.32869982719421,7.25
24.7704081535339,3.29626965522766,7.42
21.7994422912598,3.361741065979,7.34
24.7234995365143,3.31177926063538,7.45
24.5610814094543,3.24445819854736,7.3
36.1011142730713,3.39397263526916,7.44
29.3760483264923,3.29020643234253,7.33
21.8045749664307,3.26878833770752,7.19
24.8508610725403,3.2867693901062,7.36
21.6086180210114,3.22834396362305,7.39
24.8859972953796,3.45900344848633,7.16
36.7177929878235,3.42563509941101,7.26
21.686981678009,3.23974609375,7.27
36.4595527648926,3.37392830848694,7.32
29.3389039039612,3.30853915214539,7.3
24.8199536800385,3.30493450164795,7.29
24.7555108070374,3.27776765823364,7.3
26.8600099384785,,7.32291666666667
4.88297389712328,,7.3
,,0.084518028262905
,,0.084518028262905
