idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,5.0,21.0,125.0,2.0,6.89536913,1460.0,11294.9554269,1.0
1,5.0,21.0,125.0,2.0,6.89536913,1460.0,11294.9554269,1.0
2,1.0,1.0,38.0,2.0,8.70919619,390.0,11294.9554269,1.0
3,1.0,1.0,38.0,2.0,8.70919619,390.0,11294.9554269,1.0
4,5.0,176.0,23.0,2.0,6.62011833,1990.0,11294.9554269,1.0
5,5.0,176.0,23.0,2.0,6.62011833,1990.0,11294.9554269,1.0
6,5.0,4.0,49.0,1.0,7.40095713,550.0,11294.9554269,1.0
7,5.0,58.0,36.0,1.0,6.92450552,960.0,11294.9554269,1.0
8,5.0,126.0,51.0,2.0,6.69762807,1770.0,11294.9554269,1.0
9,5.0,145.0,38.0,2.0,6.68167526,1830.0,11294.9554269,1.0
10,5.0,172.0,86.0,2.0,6.62020502,2580.0,11294.9554269,1.0
11,4.0,20.0,49.0,2.0,7.48456715,690.0,11294.9554269,1.0
12,4.0,4.0,49.0,1.0,7.84214586,550.0,11294.9554269,1.0
13,4.0,58.0,36.0,1.0,7.13612353,960.0,11294.9554269,1.0
14,4.0,58.0,36.0,1.0,7.13612353,960.0,11294.9554269,1.0
15,5.0,20.0,133.0,2.0,6.94751848,1530.0,11294.9554269,1.0
16,3.0,185.0,51.0,2.0,6.8949776,2360.0,11294.9554269,1.0
17,3.0,159.0,50.0,2.0,6.93376425,2090.0,11294.9554269,1.0
18,5.0,92.0,151.0,2.0,6.71792608,2430.0,11294.9554269,1.0
19,5.0,172.0,180.0,1.0,6.62075767,3540.0,11294.9554269,1.0
20,1.0,48.0,8.0,2.0,8.23679525,560.0,11294.9554269,1.0
21,4.0,21.0,129.0,2.0,7.2523321,1500.0,11294.9554269,1.0
22,3.0,24.0,93.0,2.0,7.7506421,1170.0,11294.9554269,1.0
23,3.0,24.0,50.0,2.0,7.82821296,740.0,11294.9554269,1.0
24,3.0,125.0,50.0,1.0,6.97068354,1770.0,11294.9554269,1.0
25,3.0,191.0,45.0,2.0,6.94956949,2360.0,11294.9554269,1.0
26,5.0,172.0,115.0,2.0,6.63059422,2870.0,11294.9554269,1.0
27,5.0,176.0,93.0,2.0,6.64379781,2690.0,11294.9554269,1.0
0,1.0,1.0,38.0,2.0,8.70919619,390.0,11519.0668019,2.0
1,1.0,1.0,38.0,2.0,8.70919619,390.0,11519.0668019,2.0
2,1.0,1.0,38.0,2.0,8.70919619,390.0,11519.0668019,2.0
3,1.0,1.0,38.0,2.0,8.70919619,390.0,11519.0668019,2.0
4,1.0,1.0,38.0,2.0,8.70919619,390.0,11519.0668019,2.0
5,5.0,176.0,23.0,2.0,6.62011833,1990.0,11519.0668019,2.0
6,5.0,176.0,23.0,2.0,6.62011833,1990.0,11519.0668019,2.0
7,5.0,176.0,23.0,2.0,6.62011833,1990.0,11519.0668019,2.0
8,5.0,176.0,23.0,2.0,6.62011833,1990.0,11519.0668019,2.0
9,5.0,4.0,49.0,1.0,7.40095713,550.0,11519.0668019,2.0
10,5.0,58.0,36.0,1.0,6.92450552,960.0,11519.0668019,2.0
11,5.0,58.0,36.0,1.0,6.92450552,960.0,11519.0668019,2.0
12,5.0,126.0,51.0,2.0,6.69762807,1770.0,11519.0668019,2.0
13,5.0,145.0,38.0,2.0,6.68167526,1830.0,11519.0668019,2.0
14,5.0,21.0,118.0,2.0,6.88274762,1390.0,11519.0668019,2.0
15,5.0,151.0,8.0,2.0,6.7428424,1590.0,11519.0668019,2.0
16,5.0,4.0,36.0,1.0,7.63175998,420.0,11519.0668019,2.0
17,5.0,24.0,50.0,2.0,7.16447528,740.0,11519.0668019,2.0
18,5.0,172.0,86.0,2.0,6.62020502,2580.0,11519.0668019,2.0
19,5.0,172.0,86.0,2.0,6.62020502,2580.0,11519.0668019,2.0
20,4.0,4.0,49.0,1.0,7.84214586,550.0,11519.0668019,2.0
21,4.0,20.0,49.0,2.0,7.48456715,690.0,11519.0668019,2.0
22,5.0,159.0,50.0,2.0,6.68531116,2090.0,11519.0668019,2.0
23,5.0,21.0,125.0,2.0,6.89536913,1460.0,11519.0668019,2.0
24,4.0,58.0,36.0,1.0,7.13612353,960.0,11519.0668019,2.0
25,5.0,21.0,125.0,2.0,6.89536913,1460.0,11519.0668019,2.0
26,5.0,162.0,49.0,2.0,6.64398427,2110.0,11519.0668019,2.0
27,4.0,58.0,36.0,1.0,7.13612353,960.0,11519.0668019,2.0
0,5.0,176.0,23.0,2.0,6.62011833,1990.0,12056.934379,3.0
1,5.0,176.0,23.0,2.0,6.62011833,1990.0,12056.934379,3.0
2,5.0,176.0,23.0,2.0,6.62011833,1990.0,12056.934379,3.0
3,5.0,176.0,23.0,2.0,6.62011833,1990.0,12056.934379,3.0
4,5.0,176.0,23.0,2.0,6.62011833,1990.0,12056.934379,3.0
5,5.0,176.0,23.0,2.0,6.62011833,1990.0,12056.934379,3.0
6,5.0,176.0,23.0,2.0,6.62011833,1990.0,12056.934379,3.0
7,5.0,4.0,49.0,1.0,7.40095713,550.0,12056.934379,3.0
8,5.0,58.0,36.0,1.0,6.92450552,960.0,12056.934379,3.0
9,5.0,58.0,36.0,1.0,6.92450552,960.0,12056.934379,3.0
10,5.0,58.0,36.0,1.0,6.92450552,960.0,12056.934379,3.0
11,5.0,126.0,51.0,2.0,6.69762807,1770.0,12056.934379,3.0
12,5.0,126.0,51.0,2.0,6.69762807,1770.0,12056.934379,3.0
13,5.0,145.0,38.0,2.0,6.68167526,1830.0,12056.934379,3.0
14,5.0,21.0,118.0,2.0,6.88274762,1390.0,12056.934379,3.0
15,5.0,151.0,8.0,2.0,6.7428424,1590.0,12056.934379,3.0
16,5.0,4.0,36.0,1.0,7.63175998,420.0,12056.934379,3.0
17,5.0,4.0,36.0,1.0,7.63175998,420.0,12056.934379,3.0
18,5.0,15.0,51.0,2.0,7.29811406,660.0,12056.934379,3.0
19,5.0,21.0,23.0,2.0,7.51475354,440.0,12056.934379,3.0
20,5.0,176.0,118.0,2.0,6.60687702,2940.0,12056.934379,3.0
21,5.0,58.0,36.0,2.0,6.93958465,940.0,12056.934379,3.0
22,5.0,159.0,38.0,2.0,6.66451662,1970.0,12056.934379,3.0
23,5.0,176.0,49.0,1.0,6.61764652,2270.0,12056.934379,3.0
24,5.0,4.0,23.0,2.0,7.89447292,270.0,12056.934379,3.0
25,5.0,4.0,7.0,1.0,8.47099972,130.0,12056.934379,3.0
26,5.0,21.0,50.0,2.0,7.15985621,710.0,12056.934379,3.0
27,5.0,172.0,86.0,2.0,6.62020502,2580.0,12056.934379,3.0
0,5.0,199.0,8.0,2.0,6.56612149,2070.0,12232.291232300002,4.0
1,5.0,4.0,7.0,2.0,8.68577744,110.0,12232.291232300002,4.0
2,5.0,4.0,23.0,2.0,7.89447292,270.0,12232.291232300002,4.0
3,5.0,4.0,7.0,1.0,8.47099972,130.0,12232.291232300002,4.0
4,5.0,21.0,118.0,2.0,6.88274762,1390.0,12232.291232300002,4.0
5,5.0,4.0,51.0,2.0,7.37248257,550.0,12232.291232300002,4.0
6,5.0,77.0,23.0,2.0,6.88531641,1000.0,12232.291232300002,4.0
7,5.0,58.0,21.0,2.0,6.93303007,790.0,12232.291232300002,4.0
8,5.0,4.0,23.0,2.0,7.89447292,270.0,12232.291232300002,4.0
9,5.0,21.0,23.0,2.0,7.51475354,440.0,12232.291232300002,4.0
10,5.0,27.0,36.0,1.0,7.20141528,650.0,12232.291232300002,4.0
11,5.0,4.0,7.0,1.0,8.47099972,130.0,12232.291232300002,4.0
12,5.0,21.0,50.0,2.0,7.15985621,710.0,12232.291232300002,4.0
13,5.0,4.0,36.0,1.0,7.63175998,420.0,12232.291232300002,4.0
14,5.0,4.0,36.0,1.0,7.63175998,420.0,12232.291232300002,4.0
15,5.0,145.0,38.0,2.0,6.68167526,1830.0,12232.291232300002,4.0
16,5.0,151.0,8.0,2.0,6.7428424,1590.0,12232.291232300002,4.0
17,5.0,146.0,23.0,2.0,6.74121741,1690.0,12232.291232300002,4.0
18,5.0,172.0,23.0,2.0,6.64050034,1950.0,12232.291232300002,4.0
19,5.0,58.0,36.0,1.0,6.92450552,960.0,12232.291232300002,4.0
20,5.0,21.0,118.0,2.0,6.88274762,1390.0,12232.291232300002,4.0
21,5.0,151.0,8.0,2.0,6.7428424,1590.0,12232.291232300002,4.0
22,5.0,21.0,50.0,2.0,7.15985621,710.0,12232.291232300002,4.0
23,5.0,126.0,51.0,2.0,6.69762807,1770.0,12232.291232300002,4.0
24,5.0,176.0,23.0,2.0,6.62011833,1990.0,12232.291232300002,4.0
25,5.0,126.0,51.0,2.0,6.69762807,1770.0,12232.291232300002,4.0
26,5.0,176.0,23.0,2.0,6.62011833,1990.0,12232.291232300002,4.0
27,5.0,58.0,36.0,1.0,6.92450552,960.0,12232.291232300002,4.0
0,5.0,199.0,8.0,2.0,6.56612149,2070.0,12286.0811655,5.0
1,5.0,199.0,8.0,2.0,6.56612149,2070.0,12286.0811655,5.0
2,5.0,4.0,7.0,2.0,8.68577744,110.0,12286.0811655,5.0
3,5.0,4.0,7.0,2.0,8.68577744,110.0,12286.0811655,5.0
4,5.0,4.0,23.0,2.0,7.89447292,270.0,12286.0811655,5.0
5,5.0,4.0,7.0,1.0,8.47099972,130.0,12286.0811655,5.0
6,5.0,21.0,118.0,2.0,6.88274762,1390.0,12286.0811655,5.0
7,5.0,122.0,23.0,2.0,6.72001912,1450.0,12286.0811655,5.0
8,5.0,77.0,23.0,2.0,6.88531641,1000.0,12286.0811655,5.0
9,5.0,58.0,7.0,1.0,6.95422731,670.0,12286.0811655,5.0
10,5.0,4.0,23.0,2.0,7.89447292,270.0,12286.0811655,5.0
11,5.0,146.0,23.0,1.0,6.7084871,1710.0,12286.0811655,5.0
12,5.0,4.0,7.0,1.0,8.47099972,130.0,12286.0811655,5.0
13,5.0,27.0,36.0,1.0,7.20141528,650.0,12286.0811655,5.0
14,5.0,4.0,51.0,2.0,7.37248257,550.0,12286.0811655,5.0
15,5.0,4.0,36.0,1.0,7.63175998,420.0,12286.0811655,5.0
16,5.0,4.0,36.0,1.0,7.63175998,420.0,12286.0811655,5.0
17,5.0,145.0,38.0,2.0,6.68167526,1830.0,12286.0811655,5.0
18,5.0,4.0,51.0,2.0,7.37248257,550.0,12286.0811655,5.0
19,5.0,21.0,23.0,2.0,7.51475354,440.0,12286.0811655,5.0
20,5.0,172.0,23.0,2.0,6.64050034,1950.0,12286.0811655,5.0
21,5.0,58.0,36.0,1.0,6.92450552,960.0,12286.0811655,5.0
22,5.0,58.0,21.0,2.0,6.93303007,790.0,12286.0811655,5.0
23,5.0,27.0,36.0,1.0,7.20141528,650.0,12286.0811655,5.0
24,5.0,21.0,23.0,2.0,7.51475354,440.0,12286.0811655,5.0
25,5.0,58.0,21.0,2.0,6.93303007,790.0,12286.0811655,5.0
26,5.0,176.0,23.0,2.0,6.62011833,1990.0,12286.0811655,5.0
27,5.0,176.0,23.0,2.0,6.62011833,1990.0,12286.0811655,5.0
0,5.0,199.0,8.0,2.0,6.56612149,2070.0,12351.6965696,6.0
1,5.0,199.0,8.0,2.0,6.56612149,2070.0,12351.6965696,6.0
2,5.0,4.0,7.0,2.0,8.68577744,110.0,12351.6965696,6.0
3,5.0,4.0,7.0,2.0,8.68577744,110.0,12351.6965696,6.0
4,5.0,117.0,7.0,2.0,6.71808982,1240.0,12351.6965696,6.0
