idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,5.0,115.0,24.0,1.0,6.70564713,1410.0,4320.119088190002,1.0
1,5.0,115.0,24.0,1.0,6.70564713,1410.0,4320.119088190002,1.0
2,5.0,169.0,67.0,2.0,6.61359721,2360.0,4320.119088190002,1.0
3,2.0,10.0,21.0,2.0,8.3054321,310.0,4320.119088190002,1.0
4,2.0,63.0,5.0,2.0,7.84327094,680.0,4320.119088190002,1.0
5,5.0,115.0,24.0,2.0,6.74009478,1390.0,4320.119088190002,1.0
6,5.0,164.0,67.0,2.0,6.61513931,2310.0,4320.119088190002,1.0
7,5.0,86.0,17.0,1.0,6.76748908,1050.0,4320.119088190002,1.0
8,5.0,151.0,36.0,2.0,6.66496727,1870.0,4320.119088190002,1.0
9,2.0,49.0,48.0,2.0,7.87889641,970.0,4320.119088190002,1.0
10,2.0,10.0,66.0,2.0,8.19850611,760.0,4320.119088190002,1.0
11,5.0,136.0,108.0,1.0,6.64151552,2460.0,4320.119088190002,1.0
12,5.0,169.0,116.0,2.0,6.62393371,2850.0,4320.119088190002,1.0
13,5.0,36.0,73.0,1.0,6.97389713,1110.0,4320.119088190002,1.0
14,5.0,36.0,73.0,1.0,6.97389713,1110.0,4320.119088190002,1.0
15,5.0,36.0,73.0,1.0,6.97389713,1110.0,4320.119088190002,1.0
16,5.0,57.0,62.0,1.0,6.88516811,1210.0,4320.119088190002,1.0
17,3.0,22.0,84.0,1.0,7.80127257,1080.0,4320.119088190002,1.0
18,5.0,53.0,126.0,1.0,6.83642332,1810.0,4320.119088190002,1.0
19,5.0,127.0,86.0,1.0,6.69251044,2150.0,4320.119088190002,1.0
20,5.0,127.0,86.0,1.0,6.69251044,2150.0,4320.119088190002,1.0
21,5.0,71.0,116.0,2.0,6.77905619,1870.0,4320.119088190002,1.0
22,5.0,123.0,114.0,2.0,6.68199998,2370.0,4320.119088190002,1.0
23,2.0,49.0,48.0,1.0,7.9831514,990.0,4320.119088190002,1.0
24,2.0,49.0,48.0,1.0,7.9831514,990.0,4320.119088190002,1.0
25,5.0,141.0,151.0,2.0,6.64686782,2920.0,4320.119088190002,1.0
26,5.0,141.0,151.0,2.0,6.64686782,2920.0,4320.119088190002,1.0
27,3.0,78.0,47.0,2.0,7.27438454,1250.0,4320.119088190002,1.0
28,4.0,24.0,153.0,2.0,7.17839931,1770.0,4320.119088190002,1.0
29,5.0,71.0,116.0,1.0,6.79854343,1890.0,4320.119088190002,1.0
30,5.0,86.0,139.0,1.0,6.75240989,2270.0,4320.119088190002,1.0
31,5.0,86.0,139.0,1.0,6.75240989,2270.0,4320.119088190002,1.0
0,5.0,115.0,24.0,1.0,6.70564713,1410.0,5108.079157910002,2.0
1,5.0,115.0,24.0,1.0,6.70564713,1410.0,5108.079157910002,2.0
2,5.0,169.0,67.0,2.0,6.61359721,2360.0,5108.079157910002,2.0
3,5.0,169.0,67.0,2.0,6.61359721,2360.0,5108.079157910002,2.0
4,2.0,10.0,21.0,2.0,8.3054321,310.0,5108.079157910002,2.0
5,5.0,115.0,24.0,2.0,6.74009478,1390.0,5108.079157910002,2.0
6,5.0,115.0,24.0,2.0,6.74009478,1390.0,5108.079157910002,2.0
