train_time,test_time,rmse
69.0040009021759,5.869447469711304,7.28
44.975934743881226,5.608179330825806,7.24
49.922595500946045,5.673642158508301,7.37
60.072423696517944,6.067205429077148,7.21
50.628971576690674,5.825583219528198,7.28
73.21938276290894,5.966627836227417,7.32
56.46918797492981,5.669718265533447,7.29
58.370991945266724,5.7975218296051025,7.35
48.96431040763855,5.861185789108276,7.23
71.04561805725098,5.928699254989624,7.33
49.88615703582764,5.888562440872192,7.23
48.15992975234985,5.736206769943237,7.31
44.27423667907715,5.625495910644531,7.33
50.10564565658569,5.752956390380859,7.33
49.794894218444824,5.752295732498169,7.48
70.52203607559204,5.920580625534058,7.31
59.80618596076965,5.669132232666016,7.19
43.95481586456299,6.051283121109009,7.43
49.138468503952026,5.642778635025024,7.29
42.619094371795654,5.598419904708862,7.32
71.13226461410522,6.028177261352539,7.21
46.14377570152283,5.751951217651367,7.33
64.518718957901,5.88492488861084,7.22
43.84545183181763,5.653246879577637,7.3
72.78469634056091,5.840025901794434,7.21
59.01942253112793,5.707860469818115,7.32
50.3875298500061,6.23322868347168,7.35
48.68752598762512,5.977341175079346,7.19
