idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,1.0,57.0,12.0,1.0,8.16015105,710.0,10303.5190795,1.0
1,1.0,57.0,12.0,1.0,8.16015105,710.0,10303.5190795,1.0
2,5.0,127.0,88.0,2.0,6.67627953,2150.0,10303.5190795,1.0
3,5.0,127.0,88.0,2.0,6.67627953,2150.0,10303.5190795,1.0
4,5.0,127.0,88.0,2.0,6.67627953,2150.0,10303.5190795,1.0
5,5.0,108.0,43.0,2.0,6.73191851,1510.0,10303.5190795,1.0
6,5.0,108.0,43.0,2.0,6.73191851,1510.0,10303.5190795,1.0
7,5.0,117.0,18.0,1.0,6.7721492,1370.0,10303.5190795,1.0
8,5.0,117.0,18.0,1.0,6.7721492,1370.0,10303.5190795,1.0
9,5.0,117.0,18.0,1.0,6.7721492,1370.0,10303.5190795,1.0
10,5.0,175.0,115.0,2.0,6.59665725,2900.0,10303.5190795,1.0
11,5.0,175.0,115.0,2.0,6.59665725,2900.0,10303.5190795,1.0
12,3.0,62.0,24.0,2.0,7.58488907,860.0,10303.5190795,1.0
13,5.0,138.0,25.0,2.0,6.70134828,1630.0,10303.5190795,1.0
14,5.0,175.0,136.0,2.0,6.61537127,3110.0,10303.5190795,1.0
15,1.0,62.0,24.0,2.0,8.17899706,860.0,10303.5190795,1.0
16,2.0,67.0,24.0,2.0,7.91314173,910.0,10303.5190795,1.0
17,3.0,77.0,64.0,1.0,7.39788973,1430.0,10303.5190795,1.0
18,5.0,79.0,144.0,1.0,6.76718916,2250.0,10303.5190795,1.0
19,5.0,15.0,130.0,1.0,6.95872219,1470.0,10303.5190795,1.0
20,3.0,77.0,64.0,1.0,7.39788973,1430.0,10303.5190795,1.0
21,4.0,175.0,8.0,2.0,6.77901789,1830.0,10303.5190795,1.0
22,4.0,172.0,89.0,1.0,6.72462405,2630.0,10303.5190795,1.0
23,4.0,172.0,89.0,1.0,6.72462405,2630.0,10303.5190795,1.0
24,5.0,16.0,159.0,1.0,6.89970762,1770.0,10303.5190795,1.0
25,3.0,138.0,25.0,2.0,6.94554547,1630.0,10303.5190795,1.0
26,5.0,16.0,148.0,2.0,6.90810326,1640.0,10303.5190795,1.0
27,5.0,16.0,159.0,1.0,6.89970762,1770.0,10303.5190795,1.0
0,5.0,127.0,88.0,2.0,6.67627953,2150.0,11417.901618,2.0
1,5.0,127.0,88.0,2.0,6.67627953,2150.0,11417.901618,2.0
2,5.0,127.0,88.0,2.0,6.67627953,2150.0,11417.901618,2.0
3,5.0,127.0,88.0,2.0,6.67627953,2150.0,11417.901618,2.0
4,5.0,127.0,88.0,2.0,6.67627953,2150.0,11417.901618,2.0
5,5.0,117.0,18.0,1.0,6.7721492,1370.0,11417.901618,2.0
6,5.0,117.0,18.0,1.0,6.7721492,1370.0,11417.901618,2.0
7,5.0,117.0,18.0,1.0,6.7721492,1370.0,11417.901618,2.0
8,5.0,175.0,115.0,2.0,6.59665725,2900.0,11417.901618,2.0
9,5.0,175.0,115.0,2.0,6.59665725,2900.0,11417.901618,2.0
10,5.0,175.0,115.0,2.0,6.59665725,2900.0,11417.901618,2.0
11,5.0,175.0,115.0,2.0,6.59665725,2900.0,11417.901618,2.0
12,5.0,175.0,115.0,2.0,6.59665725,2900.0,11417.901618,2.0
13,5.0,138.0,25.0,2.0,6.70134828,1630.0,11417.901618,2.0
14,5.0,138.0,25.0,2.0,6.70134828,1630.0,11417.901618,2.0
15,5.0,138.0,25.0,2.0,6.70134828,1630.0,11417.901618,2.0
16,5.0,117.0,25.0,2.0,6.73163482,1420.0,11417.901618,2.0
17,1.0,19.0,5.0,2.0,8.73646673,240.0,11417.901618,2.0
18,5.0,62.0,24.0,2.0,6.90190321,860.0,11417.901618,2.0
19,4.0,65.0,5.0,2.0,7.14292843,700.0,11417.901618,2.0
20,5.0,175.0,136.0,2.0,6.61537127,3110.0,11417.901618,2.0
21,5.0,175.0,136.0,2.0,6.61537127,3110.0,11417.901618,2.0
22,1.0,57.0,12.0,1.0,8.16015105,710.0,11417.901618,2.0
23,1.0,57.0,12.0,1.0,8.16015105,710.0,11417.901618,2.0
24,5.0,27.0,70.0,2.0,7.06527102,970.0,11417.901618,2.0
25,5.0,127.0,94.0,2.0,6.70115948,2210.0,11417.901618,2.0
26,5.0,32.0,115.0,2.0,6.91170714,1470.0,11417.901618,2.0
27,5.0,161.0,136.0,2.0,6.61869588,2970.0,11417.901618,2.0
0,5.0,175.0,115.0,2.0,6.59665725,2900.0,12042.561694200002,3.0
