idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,5.0,57.0,62.0,1.0,6.88516811,1210.0,11316.7608618,1.0
1,5.0,115.0,24.0,1.0,6.70564713,1410.0,11316.7608618,1.0
2,5.0,115.0,24.0,1.0,6.70564713,1410.0,11316.7608618,1.0
3,5.0,169.0,67.0,2.0,6.61359721,2360.0,11316.7608618,1.0
4,5.0,169.0,67.0,2.0,6.61359721,2360.0,11316.7608618,1.0
5,2.0,10.0,21.0,2.0,8.3054321,310.0,11316.7608618,1.0
6,5.0,71.0,21.0,2.0,6.89824751,920.0,11316.7608618,1.0
7,2.0,10.0,21.0,1.0,8.24013896,330.0,11316.7608618,1.0
8,5.0,136.0,48.0,1.0,6.66308249,1860.0,11316.7608618,1.0
9,5.0,78.0,47.0,2.0,6.77605081,1250.0,11316.7608618,1.0
10,5.0,169.0,67.0,1.0,6.62427507,2380.0,11316.7608618,1.0
11,5.0,36.0,73.0,1.0,6.97389713,1110.0,11316.7608618,1.0
12,5.0,36.0,73.0,1.0,6.97389713,1110.0,11316.7608618,1.0
13,5.0,36.0,73.0,1.0,6.97389713,1110.0,11316.7608618,1.0
14,2.0,49.0,48.0,1.0,7.9831514,990.0,11316.7608618,1.0
15,5.0,112.0,81.0,2.0,6.69084078,1930.0,11316.7608618,1.0
16,5.0,141.0,66.0,2.0,6.668514,2070.0,11316.7608618,1.0
17,5.0,71.0,116.0,2.0,6.77905619,1870.0,11316.7608618,1.0
18,5.0,71.0,116.0,2.0,6.77905619,1870.0,11316.7608618,1.0
19,5.0,71.0,116.0,2.0,6.77905619,1870.0,11316.7608618,1.0
20,5.0,141.0,151.0,2.0,6.64686782,2920.0,11316.7608618,1.0
21,1.0,141.0,4.0,1.0,7.95072062,1470.0,11316.7608618,1.0
22,4.0,24.0,153.0,2.0,7.17839931,1770.0,11316.7608618,1.0
23,5.0,123.0,114.0,2.0,6.68199998,2370.0,11316.7608618,1.0
24,5.0,23.0,174.0,1.0,6.87224853,1990.0,11316.7608618,1.0
25,4.0,181.0,17.0,1.0,6.76242115,2000.0,11316.7608618,1.0
26,5.0,127.0,86.0,1.0,6.69251044,2150.0,11316.7608618,1.0
27,5.0,127.0,86.0,1.0,6.69251044,2150.0,11316.7608618,1.0
0,5.0,57.0,62.0,1.0,6.88516811,1210.0,11717.553710900002,2.0
1,5.0,115.0,24.0,1.0,6.70564713,1410.0,11717.553710900002,2.0
2,5.0,115.0,24.0,1.0,6.70564713,1410.0,11717.553710900002,2.0
3,2.0,10.0,21.0,2.0,8.3054321,310.0,11717.553710900002,2.0
4,2.0,10.0,21.0,2.0,8.3054321,310.0,11717.553710900002,2.0
5,5.0,71.0,21.0,2.0,6.89824751,920.0,11717.553710900002,2.0
6,5.0,136.0,48.0,1.0,6.66308249,1860.0,11717.553710900002,2.0
