idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,5.0,175.0,41.0,2.0,6.64873474,2160.0,11383.623571600001,1.0
1,5.0,175.0,41.0,2.0,6.64873474,2160.0,11383.623571600001,1.0
2,5.0,46.0,61.0,1.0,6.95971297,1090.0,11383.623571600001,1.0
3,5.0,91.0,93.0,2.0,6.78255828,1840.0,11383.623571600001,1.0
4,5.0,91.0,93.0,2.0,6.78255828,1840.0,11383.623571600001,1.0
5,5.0,35.0,69.0,1.0,6.97853059,1060.0,11383.623571600001,1.0
6,1.0,8.0,10.0,2.0,9.13931082,180.0,11383.623571600001,1.0
7,2.0,16.0,25.0,1.0,8.28587117,430.0,11383.623571600001,1.0
8,5.0,24.0,22.0,2.0,7.47519102,460.0,11383.623571600001,1.0
9,5.0,188.0,89.0,2.0,6.63984347,2770.0,11383.623571600001,1.0
10,5.0,98.0,109.0,1.0,6.74402076,2090.0,11383.623571600001,1.0
11,5.0,35.0,103.0,2.0,6.91245351,1380.0,11383.623571600001,1.0
12,5.0,175.0,94.0,2.0,6.67283805,2690.0,11383.623571600001,1.0
13,5.0,158.0,69.0,2.0,6.68272306,2270.0,11383.623571600001,1.0
14,5.0,91.0,96.0,2.0,6.8232382,1870.0,11383.623571600001,1.0
15,4.0,46.0,84.0,2.0,7.15839468,1300.0,11383.623571600001,1.0
16,1.0,24.0,22.0,2.0,8.43683841,460.0,11383.623571600001,1.0
17,1.0,24.0,22.0,2.0,8.43683841,460.0,11383.623571600001,1.0
18,4.0,27.0,47.0,2.0,7.53864152,740.0,11383.623571600001,1.0
19,5.0,173.0,144.0,1.0,6.66730072,3190.0,11383.623571600001,1.0
20,5.0,173.0,144.0,1.0,6.66730072,3190.0,11383.623571600001,1.0
21,4.0,169.0,57.0,2.0,6.79152693,2260.0,11383.623571600001,1.0
22,5.0,114.0,129.0,2.0,6.75098982,2430.0,11383.623571600001,1.0
23,1.0,8.0,94.0,2.0,8.45359142,1020.0,11383.623571600001,1.0
24,1.0,8.0,94.0,2.0,8.45359142,1020.0,11383.623571600001,1.0
25,3.0,186.0,3.0,2.0,6.93982977,1890.0,11383.623571600001,1.0
26,2.0,16.0,109.0,1.0,8.08108783,1270.0,11383.623571600001,1.0
27,2.0,16.0,109.0,1.0,8.08108783,1270.0,11383.623571600001,1.0
0,5.0,175.0,41.0,2.0,6.64873474,2160.0,11519.6963459,2.0
1,5.0,175.0,41.0,2.0,6.64873474,2160.0,11519.6963459,2.0
2,5.0,46.0,61.0,1.0,6.95971297,1090.0,11519.6963459,2.0
3,5.0,46.0,61.0,1.0,6.95971297,1090.0,11519.6963459,2.0
4,5.0,91.0,93.0,2.0,6.78255828,1840.0,11519.6963459,2.0
5,5.0,91.0,93.0,2.0,6.78255828,1840.0,11519.6963459,2.0
6,5.0,35.0,69.0,1.0,6.97853059,1060.0,11519.6963459,2.0
7,2.0,16.0,25.0,1.0,8.28587117,430.0,11519.6963459,2.0
8,5.0,24.0,22.0,2.0,7.47519102,460.0,11519.6963459,2.0
9,5.0,24.0,22.0,2.0,7.47519102,460.0,11519.6963459,2.0
10,5.0,98.0,109.0,1.0,6.74402076,2090.0,11519.6963459,2.0
11,5.0,35.0,103.0,2.0,6.91245351,1380.0,11519.6963459,2.0
12,5.0,183.0,195.0,1.0,6.60776421,3800.0,11519.6963459,2.0
13,2.0,8.0,10.0,2.0,8.68659649,180.0,11519.6963459,2.0
14,5.0,175.0,70.0,2.0,6.63918197,2450.0,11519.6963459,2.0
15,5.0,8.0,94.0,2.0,7.15668831,1020.0,11519.6963459,2.0
16,1.0,8.0,10.0,2.0,9.13931082,180.0,11519.6963459,2.0
17,1.0,8.0,10.0,2.0,9.13931082,180.0,11519.6963459,2.0
18,5.0,188.0,89.0,2.0,6.63984347,2770.0,11519.6963459,2.0
19,5.0,188.0,89.0,2.0,6.63984347,2770.0,11519.6963459,2.0
20,5.0,3.0,120.0,2.0,7.05960506,1230.0,11519.6963459,2.0
21,4.0,27.0,47.0,2.0,7.53864152,740.0,11519.6963459,2.0
22,1.0,16.0,25.0,1.0,8.45729057,430.0,11519.6963459,2.0
23,1.0,24.0,22.0,2.0,8.43683841,460.0,11519.6963459,2.0
24,4.0,27.0,47.0,2.0,7.53864152,740.0,11519.6963459,2.0
25,5.0,91.0,96.0,2.0,6.8232382,1870.0,11519.6963459,2.0
26,5.0,158.0,69.0,2.0,6.68272306,2270.0,11519.6963459,2.0
27,5.0,175.0,94.0,2.0,6.67283805,2690.0,11519.6963459,2.0
0,5.0,91.0,93.0,2.0,6.78255828,1840.0,11625.135927299998,3.0
1,5.0,91.0,93.0,2.0,6.78255828,1840.0,11625.135927299998,3.0
2,2.0,16.0,25.0,1.0,8.28587117,430.0,11625.135927299998,3.0
3,2.0,16.0,25.0,1.0,8.28587117,430.0,11625.135927299998,3.0
4,2.0,16.0,25.0,1.0,8.28587117,430.0,11625.135927299998,3.0
5,5.0,24.0,22.0,2.0,7.47519102,460.0,11625.135927299998,3.0
6,5.0,24.0,22.0,2.0,7.47519102,460.0,11625.135927299998,3.0
7,5.0,24.0,22.0,2.0,7.47519102,460.0,11625.135927299998,3.0
8,5.0,98.0,109.0,1.0,6.74402076,2090.0,11625.135927299998,3.0
9,5.0,183.0,195.0,1.0,6.60776421,3800.0,11625.135927299998,3.0
10,2.0,8.0,10.0,2.0,8.68659649,180.0,11625.135927299998,3.0
11,2.0,8.0,10.0,2.0,8.68659649,180.0,11625.135927299998,3.0
12,5.0,183.0,28.0,1.0,6.6166723,2130.0,11625.135927299998,3.0
13,5.0,91.0,10.0,2.0,6.87834887,1010.0,11625.135927299998,3.0
14,1.0,16.0,25.0,2.0,8.55950692,410.0,11625.135927299998,3.0
15,1.0,8.0,10.0,2.0,9.13931082,180.0,11625.135927299998,3.0
16,1.0,8.0,10.0,2.0,9.13931082,180.0,11625.135927299998,3.0
17,5.0,175.0,70.0,2.0,6.63918197,2450.0,11625.135927299998,3.0
18,5.0,175.0,70.0,2.0,6.63918197,2450.0,11625.135927299998,3.0
19,4.0,27.0,47.0,2.0,7.53864152,740.0,11625.135927299998,3.0
20,1.0,16.0,25.0,1.0,8.45729057,430.0,11625.135927299998,3.0
21,1.0,24.0,22.0,2.0,8.43683841,460.0,11625.135927299998,3.0
22,5.0,8.0,94.0,2.0,7.15668831,1020.0,11625.135927299998,3.0
23,5.0,91.0,96.0,2.0,6.8232382,1870.0,11625.135927299998,3.0
24,4.0,27.0,47.0,2.0,7.53864152,740.0,11625.135927299998,3.0
25,5.0,35.0,103.0,2.0,6.91245351,1380.0,11625.135927299998,3.0
26,5.0,175.0,41.0,2.0,6.64873474,2160.0,11625.135927299998,3.0
27,5.0,91.0,96.0,2.0,6.8232382,1870.0,11625.135927299998,3.0
0,5.0,91.0,93.0,2.0,6.78255828,1840.0,11863.1706729,4.0
1,5.0,91.0,93.0,2.0,6.78255828,1840.0,11863.1706729,4.0
2,5.0,24.0,22.0,2.0,7.47519102,460.0,11863.1706729,4.0
3,5.0,24.0,22.0,2.0,7.47519102,460.0,11863.1706729,4.0
4,5.0,24.0,22.0,2.0,7.47519102,460.0,11863.1706729,4.0
5,5.0,183.0,195.0,1.0,6.60776421,3800.0,11863.1706729,4.0
6,5.0,183.0,195.0,1.0,6.60776421,3800.0,11863.1706729,4.0
7,5.0,183.0,28.0,1.0,6.6166723,2130.0,11863.1706729,4.0
8,5.0,91.0,10.0,2.0,6.87834887,1010.0,11863.1706729,4.0
9,5.0,91.0,10.0,2.0,6.87834887,1010.0,11863.1706729,4.0
10,5.0,27.0,47.0,2.0,7.26827383,740.0,11863.1706729,4.0
11,5.0,8.0,10.0,2.0,8.24543336,180.0,11863.1706729,4.0
12,5.0,24.0,58.0,2.0,7.17837673,820.0,11863.1706729,4.0
13,5.0,91.0,10.0,1.0,6.8424312,1030.0,11863.1706729,4.0
14,5.0,183.0,10.0,2.0,6.63969469,1930.0,11863.1706729,4.0
15,5.0,175.0,182.0,2.0,6.6345058,3570.0,11863.1706729,4.0
16,5.0,8.0,10.0,2.0,8.27569516,180.0,11863.1706729,4.0
17,5.0,27.0,47.0,2.0,7.26954898,740.0,11863.1706729,4.0
18,5.0,35.0,103.0,2.0,6.91245351,1380.0,11863.1706729,4.0
19,5.0,8.0,94.0,2.0,7.15668831,1020.0,11863.1706729,4.0
20,5.0,175.0,70.0,2.0,6.63918197,2450.0,11863.1706729,4.0
21,5.0,91.0,96.0,2.0,6.8232382,1870.0,11863.1706729,4.0
22,5.0,98.0,109.0,1.0,6.74402076,2090.0,11863.1706729,4.0
23,5.0,175.0,41.0,2.0,6.64873474,2160.0,11863.1706729,4.0
24,5.0,91.0,96.0,2.0,6.8232382,1870.0,11863.1706729,4.0
25,5.0,175.0,70.0,2.0,6.63918197,2450.0,11863.1706729,4.0
26,5.0,175.0,70.0,2.0,6.63918197,2450.0,11863.1706729,4.0
27,5.0,175.0,70.0,2.0,6.63918197,2450.0,11863.1706729,4.0
0,5.0,91.0,93.0,2.0,6.78255828,1840.0,11969.1395127,5.0
1,5.0,91.0,93.0,2.0,6.78255828,1840.0,11969.1395127,5.0
2,5.0,24.0,22.0,2.0,7.47519102,460.0,11969.1395127,5.0
3,5.0,24.0,22.0,2.0,7.47519102,460.0,11969.1395127,5.0
4,5.0,24.0,22.0,2.0,7.47519102,460.0,11969.1395127,5.0
5,5.0,24.0,22.0,2.0,7.47519102,460.0,11969.1395127,5.0
6,5.0,24.0,22.0,2.0,7.47519102,460.0,11969.1395127,5.0
7,5.0,24.0,22.0,2.0,7.47519102,460.0,11969.1395127,5.0
8,5.0,183.0,28.0,1.0,6.6166723,2130.0,11969.1395127,5.0
9,5.0,91.0,10.0,2.0,6.87834887,1010.0,11969.1395127,5.0
10,5.0,91.0,10.0,2.0,6.87834887,1010.0,11969.1395127,5.0
11,5.0,91.0,10.0,2.0,6.87834887,1010.0,11969.1395127,5.0
12,5.0,8.0,10.0,2.0,8.24543336,180.0,11969.1395127,5.0
13,5.0,8.0,10.0,2.0,8.24543336,180.0,11969.1395127,5.0
14,5.0,24.0,58.0,2.0,7.17837673,820.0,11969.1395127,5.0
15,5.0,24.0,58.0,2.0,7.17837673,820.0,11969.1395127,5.0
16,5.0,24.0,58.0,2.0,7.17837673,820.0,11969.1395127,5.0
17,5.0,91.0,10.0,1.0,6.8424312,1030.0,11969.1395127,5.0
18,5.0,183.0,10.0,2.0,6.63969469,1930.0,11969.1395127,5.0
19,5.0,27.0,10.0,2.0,7.6203047,370.0,11969.1395127,5.0
20,5.0,102.0,28.0,2.0,6.8345458,1300.0,11969.1395127,5.0
21,5.0,183.0,195.0,2.0,6.60612808,3780.0,11969.1395127,5.0
22,5.0,24.0,28.0,1.0,7.25681232,540.0,11969.1395127,5.0
23,5.0,98.0,93.0,2.0,6.76663962,1910.0,11969.1395127,5.0
24,5.0,8.0,10.0,2.0,8.27569516,180.0,11969.1395127,5.0
25,5.0,8.0,10.0,2.0,8.27569516,180.0,11969.1395127,5.0
26,5.0,183.0,195.0,1.0,6.60776421,3800.0,11969.1395127,5.0
27,5.0,183.0,195.0,1.0,6.60776421,3800.0,11969.1395127,5.0
0,5.0,8.0,10.0,2.0,8.24543336,180.0,11979.099854099999,6.0
1,5.0,8.0,10.0,2.0,8.24543336,180.0,11979.099854099999,6.0
2,5.0,183.0,195.0,2.0,6.60612808,3780.0,11979.099854099999,6.0
3,5.0,183.0,195.0,2.0,6.60612808,3780.0,11979.099854099999,6.0
4,5.0,183.0,28.0,1.0,6.6166723,2130.0,11979.099854099999,6.0
5,5.0,24.0,10.0,2.0,7.91342198,340.0,11979.099854099999,6.0
6,5.0,24.0,28.0,1.0,7.25681232,540.0,11979.099854099999,6.0
7,5.0,102.0,28.0,2.0,6.8345458,1300.0,11979.099854099999,6.0
8,5.0,24.0,58.0,2.0,7.17837673,820.0,11979.099854099999,6.0
9,5.0,27.0,10.0,2.0,7.6203047,370.0,11979.099854099999,6.0
10,5.0,91.0,10.0,2.0,6.87834887,1010.0,11979.099854099999,6.0
11,5.0,91.0,93.0,2.0,6.78255828,1840.0,11979.099854099999,6.0
12,5.0,24.0,22.0,2.0,7.47519102,460.0,11979.099854099999,6.0
13,5.0,183.0,10.0,2.0,6.63969469,1930.0,11979.099854099999,6.0
14,5.0,24.0,22.0,2.0,7.47519102,460.0,11979.099854099999,6.0
15,5.0,24.0,58.0,2.0,7.17837673,820.0,11979.099854099999,6.0
16,5.0,91.0,10.0,1.0,6.8424312,1030.0,11979.099854099999,6.0
17,5.0,98.0,93.0,2.0,6.76663962,1910.0,11979.099854099999,6.0
18,5.0,27.0,10.0,2.0,7.6203047,370.0,11979.099854099999,6.0
19,5.0,91.0,10.0,2.0,6.87834887,1010.0,11979.099854099999,6.0
20,5.0,183.0,28.0,1.0,6.6166723,2130.0,11979.099854099999,6.0
21,5.0,91.0,93.0,2.0,6.78255828,1840.0,11979.099854099999,6.0
22,5.0,183.0,10.0,2.0,6.63969469,1930.0,11979.099854099999,6.0
23,5.0,98.0,93.0,2.0,6.76663962,1910.0,11979.099854099999,6.0
24,5.0,91.0,10.0,1.0,6.8424312,1030.0,11979.099854099999,6.0
